faceOutline,chin,leftEyebrow,rightEyebrow,leftEye,leftIris,rightEye,rightIris,Nose,Mouth,lips,leftEar,rightEar,hair,neckLine,rightJaw,leftJaw
"232,463","226,453","194,317","289,278","196,317","212,303","298,295","315,289","252,289","231,403","237,403","151,318","397,314","162,302","212,458","395,275","183,268"
"226,463","234,460","190,307","300,272","199,309","217,301","304,291","322,289","258,298","236,397","241,398","154,312","400,307","166,293","216,466","400,280","180,275"
"217,459","243,469","188,297","310,267","207,303","222,307","312,288","330,287","259,308","241,393","247,394","159,308","402,299","168,283","219,475","406,283","178,281"
"210,453","257,472","191,286","324,266","218,301","225,302","321,288","334,291","258,318","247,389","252,391","163,314","402,293","172,275","222,483","408,288","176,288"
"204,446","273,470","197,276","336,264","228,299","230,301","330,288","332,296","255,327","253,386","258,389","165,322","409,291","174,265","224,493","402,292","176,296"
"198,439","288,467","209,271","348,263","237,298","230,307","338,291","325,299","252,336","262,385","264,389","167,329","411,285","172,256","227,503","401,298","177,305"
"191,429","303,467","218,277","356,268","245,304","223,311","346,293","317,298","250,343","271,386","270,390","168,336","415,278","172,246","232,511","398,306","177,312"
"186,420","318,460","229,276","354,277","234,310","216,312","348,298","317,294","241,344","277,388","276,391","173,338","420,276","172,237","237,519","395,313","177,319"
"182,408","328,451","239,278","345,272","222,311","215,307","338,300",,"241,354","282,385","282,389","173,344","425,280","172,227","239,527","395,321","176,326"
"180,397","335,444","209,281",,"209,315",,"327,299",,"248,358","289,382","288,388","174,351","428,285","173,219","242,536","394,328","179,332"
"178,386",,"204,288",,"202,317",,"318,300",,"257,356","297,383","294,387","172,357","430,291","176,211","245,544","394,336","180,337"
"176,375",,"198,294",,,,"308,301",,"264,357","304,386","299,388","172,364","430,301","178,203","250,551","394,342","182,343"
"176,365",,"196,302",,,,"301,299",,"268,360","312,389","305,391","174,370","427,311","181,195","257,558","394,350","183,350"
"175,355",,,,,,,,"274,358","318,390","311,392","176,378","425,318","186,187","264,565","393,356","184,358"
"173,345",,,,,,,,"280,354","323,393","317,393","176,384","420,325","188,178","272,571","392,362","184,364"
"171,336",,,,,,,,"289,354","318,399","321,393","177,390","420,331","192,169","281,575","391,366","184,368"
"168,327",,,,,,,,"295,354","313,404","318,395","173,393","417,338","198,162","290,579","394,370","183,375"
"166,317",,,,,,,,"304,353","307,408","311,399","168,388","414,344","204,155","300,582","392,380","182,381"
"164,309",,,,,,,,"306,347","297,412","305,402","164,382","415,348","211,150","309,581","391,388","182,387"
"168,302",,,,,,,,"301,340","290,415","297,403","166,375","416,353","218,146","318,577","389,394","181,392"
"171,295",,,,,,,,"292,337","280,417","290,406","167,368","414,359","225,143","326,571","388,400","180,397"
"174,288",,,,,,,,"286,331","270,417","283,407","164,361","410,364","232,141","335,567","385,408",
"178,281",,,,,,,,"283,324","261,417","276,409","162,354","405,368","240,139","343,561","382,414",
"183,273",,,,,,,,"282,318","252,417","269,410","159,348","398,370","249,137","350,557","378,422",
"190,265",,,,,,,,"282,311","244,417","261,409","154,340","392,368","257,135","359,552","374,429",
"192,257",,,,,,,,"283,304","240,411","254,409","152,334","393,362","265,133","366,546","370,435",
"197,250",,,,,,,,"284,297","234,407","248,409","151,327","394,355","273,133","374,541","365,440",
"198,241",,,,,,,,"285,289",,"244,408",,"395,345","280,133","381,534","360,447",
"196,233",,,,,,,,,,"241,405",,"397,337","289,134","386,525","355,450",
"195,225",,,,,,,,,,,,"400,331","298,135","393,517","348,454",
"196,218",,,,,,,,,,,,"398,325","309,137","397,509","342,456",
"197,209",,,,,,,,,,,,"397,320","320,139","402,501","335,457",
"200,203",,,,,,,,,,,,,"332,141","405,493",,
"204,197",,,,,,,,,,,,,"342,143","409,485",,
"209,189",,,,,,,,,,,,,"352,147","412,477",,
"214,183",,,,,,,,,,,,,"361,151","414,469",,
"219,177",,,,,,,,,,,,,"368,156","415,461",,
"228,175",,,,,,,,,,,,,"376,161","413,454",,
"236,176",,,,,,,,,,,,,"384,167","408,450",,
"244,178",,,,,,,,,,,,,"391,176","402,445",,
"251,179",,,,,,,,,,,,,"396,184","398,442",,
"258,178",,,,,,,,,,,,,"400,193","394,436",,
"265,181",,,,,,,,,,,,,"404,201","392,430",,
"272,179",,,,,,,,,,,,,"407,210","390,423",,
"280,177",,,,,,,,,,,,,"410,218","388,415",,
"288,173",,,,,,,,,,,,,"412,227","387,407",,
"298,173",,,,,,,,,,,,,"413,235","389,398",,
"308,175",,,,,,,,,,,,,"414,243","392,391",,
"318,178",,,,,,,,,,,,,"415,251","392,382",,
"326,181",,,,,,,,,,,,,"415,259","392,375",,
"333,186",,,,,,,,,,,,,"416,266",,,
"332,193",,,,,,,,,,,,,"416,273",,,
"331,198",,,,,,,,,,,,,,,,
"336,201",,,,,,,,,,,,,,,,
"339,203",,,,,,,,,,,,,,,,
"345,207",,,,,,,,,,,,,,,,
"351,211",,,,,,,,,,,,,,,,
"356,215",,,,,,,,,,,,,,,,
"359,219",,,,,,,,,,,,,,,,
"354,220",,,,,,,,,,,,,,,,
"350,225",,,,,,,,,,,,,,,,
"348,229",,,,,,,,,,,,,,,,
"355,229",,,,,,,,,,,,,,,,
"360,228",,,,,,,,,,,,,,,,
"364,233",,,,,,,,,,,,,,,,
"360,239",,,,,,,,,,,,,,,,
"362,244",,,,,,,,,,,,,,,,
"364,249",,,,,,,,,,,,,,,,
"370,253",,,,,,,,,,,,,,,,
"376,256",,,,,,,,,,,,,,,,
"383,257",,,,,,,,,,,,,,,,
"387,263",,,,,,,,,,,,,,,,
"394,270",,,,,,,,,,,,,,,,
"390,278",,,,,,,,,,,,,,,,
"386,285",,,,,,,,,,,,,,,,
"382,291",,,,,,,,,,,,,,,,
"382,297",,,,,,,,,,,,,,,,
"384,304",,,,,,,,,,,,,,,,
"385,311",,,,,,,,,,,,,,,,
"379,313",,,,,,,,,,,,,,,,
"374,316",,,,,,,,,,,,,,,,
"375,321",,,,,,,,,,,,,,,,
"374,328",,,,,,,,,,,,,,,,
"374,336",,,,,,,,,,,,,,,,
"376,343",,,,,,,,,,,,,,,,
"379,350",,,,,,,,,,,,,,,,
"381,356",,,,,,,,,,,,,,,,
"380,361",,,,,,,,,,,,,,,,
"380,367",,,,,,,,,,,,,,,,
"380,374",,,,,,,,,,,,,,,,
"380,383",,,,,,,,,,,,,,,,
"380,391",,,,,,,,,,,,,,,,
"378,399",,,,,,,,,,,,,,,,
"375,406",,,,,,,,,,,,,,,,
"372,411",,,,,,,,,,,,,,,,
"370,418",,,,,,,,,,,,,,,,
"366,423",,,,,,,,,,,,,,,,
"360,429",,,,,,,,,,,,,,,,
"356,436",,,,,,,,,,,,,,,,
"350,442",,,,,,,,,,,,,,,,
"346,447",,,,,,,,,,,,,,,,
"338,449",,,,,,,,,,,,,,,,
"334,451",,,,,,,,,,,,,,,,
"329,452",,,,,,,,,,,,,,,,